wmae,mae,rmse,anom_mae,n_rows,fold,train_start,train_end,val_start,val_end,runtime_sec
2501.840761146367,2344.3640029411627,4933.058997862924,2344.3640029411627,38798.0,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27,73.37209691299358
2200.2991926859586,2218.4287062348944,4420.417746606389,2218.4287062348944,38685.0,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27,70.0185112329782
1973.080185834314,1973.080185834314,3735.18983164959,1973.080185834314,38373.0,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27,90.88127468299353
1848.2286570376655,1829.2744095775865,3609.0547688622555,1829.2744095775865,38530.0,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26,80.98043047398096
2130.8621991760765,2091.2868261469894,4174.43033624529,2091.2868261469894,38596.5,mean,,,,,78.81307832573657
