wmae,mae,rmse,n_rows,anom_mae,runtime_sec,fold,train_start,train_end,val_start,val_end
2472.678568294075,2292.791482268465,4919.5843634556595,38798.0,2292.791482268465,6.2250604999717325,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27
2163.772249473223,2175.479837497103,4420.761374384882,38685.0,2175.4798374971024,8.10588769998867,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27
2058.7844722680898,2058.7844722680898,3793.8327137415704,38373.0,2058.7844722680898,7.7170908999978565,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27
1833.8562235143656,1803.8619848851217,3645.8654248514827,38530.0,1803.8619848851217,12.398858000000473,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26
2132.272878387438,2082.7294442296948,4195.010969108399,38596.5,2082.7294442296948,8.611724274989683,mean,,,,
