wmae,mae,rmse,n_rows,anom_mae,fold,train_start,train_end,val_start,val_end
3226.3119461454253,2954.596322399683,6774.746936058782,2421.0,2954.596322399683,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27
2585.1475232323164,2537.154109596252,4955.983405414498,2413.0,2537.154109596252,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27
1995.168952742789,1995.168952742789,3488.68540923948,2384.0,1995.168952742789,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27
1707.913977433378,1794.3470156247768,3612.016816836729,2383.0,1794.3470156247768,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26
2378.6355998884774,2320.316600090875,4707.858141887373,2400.25,2320.316600090875,mean,,,,
