wmae,mae,rmse,n_rows,anom_mae,fold,train_start,train_end,val_start,val_end
2515.1285379062538,2318.119607322605,5063.727279869376,38798.0,2318.119607322605,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27
2763.7307897336236,2760.4486959772244,5619.494362708817,38685.0,2760.4486959772244,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27
2118.7681903081198,2118.7681903081198,4137.517343356943,38373.0,2118.7681903081198,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27
1710.2662530099876,1710.220867702841,3416.7263114891584,38530.0,1710.220867702841,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26
2276.973442739496,2226.8893403276975,4559.366324356073,38596.5,2226.8893403276975,mean,,,,
