wmae,mae,rmse,n_rows,anom_mae,runtime_sec,fold,train_start,train_end,val_start,val_end
2443.770022442229,2243.909148648465,4898.711983259156,38798.0,2243.909148648465,14.83164270000998,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27
2132.90727686496,2148.134375491969,4393.405264143127,38685.0,2148.134375491969,20.781197800009977,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27
1915.3439920946648,1915.3439920946648,3675.397679323292,38373.0,1915.3439920946648,19.938102899992373,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27
1738.9823682436215,1719.540629400874,3554.4587994435583,38530.0,1719.540629400874,19.019420799973886,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26
2057.750914911369,2006.7320364089933,4130.493431542283,38596.5,2006.7320364089933,18.642591049996554,mean,,,,
