wmae,mae,rmse,n_rows,anom_mae,fold,train_start,train_end,val_start,val_end
2468.567458238191,2271.8024360004806,4955.291247380447,38798.0,2271.8024360004806,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27
2199.6824694266584,2196.184633421169,4485.7205352035135,38685.0,2196.184633421169,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27
2028.753667342868,2028.753667342868,3948.262807244938,38373.0,2028.753667342868,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27
1947.7422714520894,1923.2356823955433,3954.874629466063,38530.0,1923.2356823955433,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26
2161.1864666149518,2104.994104790015,4336.037304823741,38596.5,2104.994104790015,mean,,,,
