wmae,mae,rmse,n_rows,anom_mae,fold,train_start,train_end,val_start,val_end
2519.924408914862,2320.651212286644,5067.430143759813,38798.0,2320.6512122866434,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27
2774.033291312057,2765.3166232589115,5624.663142437132,38685.0,2765.316623258911,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27
2130.21131622949,2130.21131622949,4176.417900617772,38373.0,2130.21131622949,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27
1853.6760280818858,1756.350848027141,3506.2972311572403,38530.0,1756.350848027141,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26
2319.4612611345738,2243.1324999505464,4593.70210449299,38596.5,2243.1324999505464,mean,,,,
