wmae,mae,rmse,n_rows,anom_mae,runtime_sec,fold,train_start,train_end,val_start,val_end
2475.9852739588464,2293.252764971308,4919.23899930497,38798.0,2293.252764971308,0.8669060060055926,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27
2207.708435759179,2224.478816149139,4446.840567812829,38685.0,2224.478816149139,0.992712692997884,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27
1921.3577967632552,1921.3577967632552,3758.701811377305,38373.0,1921.3577967632552,0.9486910200212151,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27
1805.8999997112865,1774.649986802106,3661.513909682548,38530.0,1774.649986802106,1.033330599020701,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26
2102.7378765481417,2053.4348411714523,4196.573822044413,38596.5,2053.4348411714523,0.9604100795113482,mean,,,,
