wmae,mae,rmse,n_rows,anom_mae,runtime_sec,fold,train_start,train_end,val_start,val_end
2448.471873499517,2248.049926843941,4908.325535172982,38798.0,2248.049926843941,3.7260787169798277,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27
2144.0026462626183,2157.122843161702,4413.152265408155,38685.0,2157.122843161702,4.437881844001822,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27
1915.9957883197228,1915.9957883197228,3650.6251490697255,38373.0,1915.9957883197228,4.724519985029474,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27
1679.9028396917124,1664.7953443636652,3444.058587693941,38530.0,1664.7953443636652,5.243643737980165,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26
2047.0932869433927,1996.490975672258,4104.040384336201,38596.5,1996.490975672258,4.533031070997822,mean,,,,
