wmae,mae,rmse,n_rows,anom_mae,fold,train_start,train_end,val_start,val_end
5989.774614126005,5916.085623979372,11465.394576952714,38798.0,5916.085623979371,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27
10061.944470390901,10472.387681215067,20457.69581890204,38685.0,10472.387681215068,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27
11956.737489431733,11956.737489431733,21420.299577505128,38373.0,11956.737489431733,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27
12294.668865186144,12479.60477254933,22343.880598375905,38530.0,12479.60477254933,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26
10075.781359783696,10206.203891793875,18921.817642933947,38596.5,10206.203891793875,mean,,,,
