wmae,mae,rmse,n_rows,anom_mae,runtime_sec,fold,train_start,train_end,val_start,val_end
2350.210994291824,2193.4307842670673,4866.046429439062,38798.0,2193.4307842670673,35.45514261099743,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27
2036.5126521142763,2050.230681184368,4093.1317240317167,38685.0,2050.2306811843678,323.79774234601064,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27
1540.0425587674213,1540.0425587674213,3030.6475269167454,38373.0,1540.0425587674213,334.12934637098806,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27
1442.1414833972256,1444.2795786630309,2974.7371662471373,38530.0,1444.2795786630309,515.8197939009988,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26
1842.226922142687,1806.995900720472,3741.1407116586656,38596.5,1806.9959007204716,302.3005063072487,mean,,,,
