wmae,mae,rmse,method,runtime_sec
3303.90209088401,3019.287980662358,6781.881979546964,map,4.10270849999506
3304.054592781178,3020.052336735283,6776.90581353722,nuts_mean_params,72.9570358999772
3306.566199845719,3021.911751422074,6777.301050132753,nuts_draw_mean,72.9570358999772
