candidate,kernel,bandwidth,ridge,coef_clip,wmae,mae,rmse
3,tricube,8,0.0005,5.0,7334.921314306638,7378.861273588648,14566.596221354379
4,exponential,6,0.0001,6.0,7429.4000155961985,7441.568143389652,14899.34398664263
1,tricube,4,0.0001,6.0,8854.55738645637,8829.32068121443,16529.28213392078
2,tricube,6,0.0001,6.0,10024.451679957438,10133.24614873377,18871.345920512435
