candidate,n_estimators,max_depth,min_samples_leaf,max_features,wmae,mae,rmse
3,160,22,1,sqrt,2047.0932869433927,1996.490975672258,4104.040384336201
2,120,18,2,sqrt,2057.388027543313,2005.6235884991777,4110.35534338968
1,80,14,2,sqrt,2062.007742427674,2010.3971023209915,4126.719258145812
