wmae,mae,rmse,n_rows,anom_mae,runtime_sec,fold,train_start,train_end,val_start,val_end
2350.8605613294017,2193.524620613466,4865.080883426916,38798.0,2193.5246206134657,137.1553561000037,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27
1965.9520508714538,1969.586155300543,4035.6089193584553,38685.0,1969.586155300543,839.1892595000099,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27
1585.766264765864,1585.766264765864,3052.148316224136,38373.0,1585.766264765864,952.3291473999852,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27
1436.4353119057437,1435.2773613086504,2961.666930211704,38530.0,1435.2773613086504,974.1371733999695,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26
1834.7535472181157,1796.0386004971306,3728.626262305303,38596.5,1796.0386004971306,725.7027340999921,mean,,,,
