candidate,seasonal_periods,exog_alpha,wmae,mae,rmse
2,52,1.0,1842.226922142687,1806.995900720472,3741.1407116586656
1,52,0.5,1842.5638571911015,1807.0757860662075,3741.0769418708046
3,53,1.0,1842.6617180322382,1807.1787891199697,3739.695461211549
