wmae,mae,rmse,n_rows,anom_mae,runtime_sec,fold,train_start,train_end,val_start,val_end
2479.961991564502,2278.5088428022486,4905.691397539268,38798.0,2278.5088428022486,144.9542494000052,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27
2197.511715407113,2189.320166389454,4409.023647824232,38685.0,2189.320166389454,189.68584300001385,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27
2014.0487050083373,2014.0487050083373,3866.7517953821757,38373.0,2014.0487050083373,214.7108719999669,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27
1865.9851555269447,1843.2944381980828,3739.2078236689736,38530.0,1843.2944381980828,239.9911551999976,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26
2139.3768918767246,2081.293038099531,4230.168666103662,38596.5,2081.293038099531,197.3355298999959,mean,,,,
