candidate,alpha,l1_ratio,wmae,mae,rmse
3,0.05,0.3,2102.7378765481417,2053.4348411714523,4196.573822044413
2,0.02,0.2,2103.9996284468134,2054.667768197933,4195.555057667851
1,0.01,0.1,2104.6274212081034,2055.2699480525002,4195.26972807095
