candidate,n_estimators,learning_rate,max_depth,loss,wmae,mae,rmse
3,400,0.02,3,square,2123.7192218260925,2067.9479918340476,4224.530121073063
1,200,0.03,2,linear,2125.116172671842,2072.055774417389,4238.052798870798
2,300,0.03,3,linear,2137.4828156119447,2082.3207174565,4223.55138277034
