wmae,mae,rmse,n_rows,anom_mae,runtime_sec,fold,train_start,train_end,val_start,val_end
2484.3252596427483,2278.4194764329213,4927.184916076067,38798.0,2278.4194764329213,122.83680306799943,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27
2194.5686005880225,2196.823531414158,4386.792010129337,38685.0,2196.823531414158,164.61474224802805,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27
2001.0029292544277,2001.0029292544277,3888.0682471346363,38373.0,2001.0029292544277,188.97718895599246,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27
1814.9800978191722,1795.5460302346842,3696.075310952212,38530.0,1795.5460302346842,220.46086691494565,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26
2123.7192218260925,2067.9479918340476,4224.530121073063,38596.5,2067.9479918340476,174.2224002967414,mean,,,,
