wmae,mae,rmse,anom_mae,n_rows,fold,train_start,train_end,val_start,val_end,runtime_sec
1858.6152846339473,1858.6152846339473,3605.1803321950815,1858.6152846339476,23638.0,1,2010-02-05,2012-07-06,2012-07-13,2012-08-31,41.1058158359956
1788.7477097842445,1814.821572076661,3515.6195120681327,1814.821572076661,23729.0,2,2010-02-05,2012-08-31,2012-09-07,2012-10-26,27.821250757027883
1823.681497209096,1836.7184283553042,3560.399922131607,1836.7184283553042,23683.5,mean,,,,,34.46353329651174
