wmae,mae,rmse,n_rows,anom_mae,fold,train_start,train_end,val_start,val_end
2968.579713757056,3028.312164966403,6596.269740024477,38798.0,3028.312164966403,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27
8315.104990264692,8378.63759611454,16999.560174130416,38685.0,8378.63759611454,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27
9125.216805429825,9125.216805429825,17656.78618887351,38373.0,9125.216805429824,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27
8930.783747774982,8983.278527843824,17013.76878238912,38530.0,8983.278527843824,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26
7334.921314306638,7378.861273588648,14566.596221354379,38596.5,7378.861273588647,mean,,,,
