candidate,fourier_order,max_eval,pred_draws,wmae,mae,rmse
3,4,1800,40,2152.812030567965,2113.1179108887427,4182.977910094991
2,3,1800,40,2153.8018025696365,2113.8045450586737,4183.897758261915
1,2,1200,20,2190.538889602106,2150.812503947914,4199.303327327444
