wmae,mae,rmse,anom_mae,n_rows,fold,train_start,train_end,val_start,val_end,runtime_sec
2514.0476128244154,2354.646140156223,4935.317829427728,2354.646140156223,38798.0,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27,64.71820040000603
2192.8778497827902,2207.4945977855837,4400.426532467064,2207.494597785584,38685.0,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27,68.36807170003885
2138.5045771339533,2138.5045771339533,3799.4860793871135,2138.5045771339533,38373.0,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27,68.0479481999646
1904.5028832055878,1885.8283657876325,3620.883291076743,1885.8283657876325,38530.0,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26,65.61217739997664
2187.483230736687,2146.6184202158483,4189.028433089662,2146.6184202158483,38596.5,mean,,,,,66.68659942499653
