wmae,mae,rmse,anom_mae,n_rows,fold,train_start,train_end,val_start,val_end,runtime_sec,m_t,c_t
4633.292491639987,4324.639307735601,7282.28398927756,4324.639307735601,2421.0,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27,114.39780819998123,192.0,6.585080948059359
3447.296002593643,3648.504813315109,5642.425628982497,3648.504813315109,2413.0,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27,129.39950619998854,192.0,6.577961381818692
9594.830502296967,9594.830502296967,11824.078835538792,9594.830502296967,2384.0,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27,155.69003519997932,192.0,6.56720339059253
4643.108091081536,3954.2359450821486,5346.532628269303,3954.2359450821486,2383.0,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26,154.24394850002136,192.0,6.552363923902829
5579.631771903034,5380.552642107456,7523.830270517038,5380.552642107456,2400.25,mean,,,,,138.4328245249926,192.0,6.570652411093352
