wmae,mae,rmse,anom_mae,n_rows,fold,train_start,train_end,val_start,val_end,runtime_sec
2481.097236976195,2280.8673632796417,4947.496874397583,2280.8673632796417,38798.0,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27,48.196824399987236
2741.561189235348,2732.696233366325,5527.722433091807,2732.696233366325,38685.0,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27,33.34768049995182
2115.131683319048,2115.131683319048,3893.575869182633,2115.1316833190476,38373.0,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27,34.80478100001346
1784.8262749534529,1758.1240349205198,3429.2435935018248,1758.1240349205198,38530.0,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26,34.59906660002889
2280.654096121011,2221.704828721384,4449.509692543463,2221.7048287213834,38596.5,mean,,,,,37.73708812499535
