wmae,mae,rmse,n_rows,anom_mae,fold,train_start,train_end,val_start,val_end
2593.8015388284716,2402.76787463993,5139.9876592869305,38798.0,2402.76787463993,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27
2934.760157831839,2935.3430397271436,5907.819831543524,38685.0,2935.343039727143,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27
2080.429482892704,2080.429482892704,4015.677681096305,38373.0,2080.4294828927045,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27
1768.1452871545366,1769.7326182082415,3500.9009622730728,38530.0,1769.7326182082415,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26
2344.2841166768876,2297.068253867005,4641.096533549959,38596.5,2297.068253867005,mean,,,,
