wmae,mae,rmse,anom_mae,n_rows,fold,train_start,train_end,val_start,val_end,runtime_sec
2464.7939704137557,2267.058003370018,4943.247427027979,2267.058003370018,38798.0,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27,65.08723290002672
2731.8093655326356,2723.1245486469443,5512.825090150164,2723.1245486469443,38685.0,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27,56.39335289999144
2033.3552784301448,2033.3552784301448,3945.9191267868464,2033.3552784301448,38373.0,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27,78.17808179999702
1733.9229930729412,1714.161876587622,3479.124613468249,1714.161876587622,38530.0,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26,87.88258899998618
2240.9704018623693,2184.424926758682,4470.279064358309,2184.424926758682,38596.5,mean,,,,,71.88531415000034
