wmae,mae,rmse,anom_mae,n_rows,fold,train_start,train_end,val_start,val_end,runtime_sec
3332.4276895059056,3044.901828449727,6776.726111514281,3044.901828449727,2421.0,1,2010-02-05,2011-10-28,2011-11-04,2012-01-27,7.024833100032993
2644.4356140782397,2591.34899261427,4963.240624491525,2591.34899261427,2413.0,2,2010-02-05,2012-01-27,2012-02-03,2012-04-27,5.19332319998648
2062.155994237048,2062.155994237048,3499.2140846206185,2062.155994237048,2384.0,3,2010-02-05,2012-04-27,2012-05-04,2012-07-27,4.36071409995202
1899.7652975298736,1989.6804780140562,3754.2754021101277,1989.6804780140567,2383.0,4,2010-02-05,2012-07-27,2012-08-03,2012-10-26,4.513492199999746
2484.6961488377665,2422.021823328775,4748.364055684137,2422.0218233287756,2400.25,mean,,,,,5.27309064999281
