wmae,mae,rmse,anom_mae,n_rows,fold,train_start,train_end,val_start,val_end,runtime_sec
2445.863970099945,2729.890496382299,4754.373198683543,2729.890496382299,227.0,1,2010-02-05,2012-08-03,2012-08-10,2012-09-14,22.50271369999973
1816.3523886473017,1816.3523886473017,3167.521809197911,1816.352388647302,231.0,2,2010-02-05,2012-09-14,2012-09-21,2012-10-26,3.2996938999858685
2131.1081793736234,2273.1214425148,3960.947503940727,2273.1214425148005,229.0,mean,,,,,12.9012037999928
